Permission,State: Member,State: Blue,State: Guest,Group: <A5OCT>,Group: <A5OCT> Officer,Group: <F4L5E>,Group: Commander,Group: D1,Group: D2,Group: D3,Group: Director,Group: Heavy Industry,Group: Logistics,Group: Members,Group: Officer,Group: Personnel,Group: Project Manager,Group: R&D,Group: Reprocessing,Group: Sales,Group: Staff,Group: Tester,Group: Website team
killstats.admin_access,,,,,,,,,,,,,,,,,,,,,,,Yes
killstats.basic_access,,,,,,,,,,,,,,,,,,,,,,,Yes
ledger.advanced_access,,,,,,,,,,,,,,,,,,,,,,,Yes
ledger.basic_access,,,,,,,,,,,,,,,,,,,,,,,Yes
ledger.char_audit_admin_manager,,,,,,,,,,,,,,,,,,,,,,,Yes
ledger.char_audit_manager,,,,,,,,,,,,,,,,,,,,,,,Yes
ledger.corp_audit_admin_manager,,,,,,,,,,,,,,,,,,,,,,,Yes
ledger.corp_audit_manager,,,,,,,,,,,,,,,,,,,,,,,Yes
ledger.manage_access,,,,,,,,,,,,,,,,,,,,,,,Yes
madc.admin_access,,,,,,Yes,,,,,,,,,,,,,,,,,Yes
madc.alliance_access,,,,,,,,,,,,,,,,,,,,,,,Yes
madc.basic_access,,,,,,,,,,,,,,,,,,,,,,,Yes
madc.corp_access,,,,,,,,,,,,,,,,,,,,,,,Yes
madc.manage_access,,,,,,,,,,,,,,,,,,,,,,,Yes
marketmanager.advanced_market_browser,,,,,,,,,,,,,,,,,,,,,,,Yes
marketmanager.basic_market_browser,,,,,,,,,,,,,,,,,,,,,,,Yes
marketmanager.basic_market_watches,,,,,,,,,,,,,,,,,,,,,,,Yes
marketmanager.can_add_token_character,,,,,,,,,,,,,,,,,,,,,,,Yes
marketmanager.can_add_token_corporation,,,,,,,,,,,,,,,,,,,,,,,Yes
marketmanager.order_highlight_corporation,,,,,,,,,,,,,,,,,,,,,,,Yes
marketmanager.order_highlight_user,,,,,,,,,,,,,,,,,,,,,,,Yes
memberaudit.basic_access,,,,,,,,,,,,,,Yes,,,,,,,,,Yes
memberaudit.characters_access,,,,,,,,,,,,,,Yes,,,,,,,,,Yes
memberaudit.exports_access,,,,,,,,,,,,,,Yes,,,,,,,,,Yes
memberaudit.finder_access,,,,,,,,,,,,,,Yes,,,,,,,,,Yes
memberaudit.notified_on_character_removal,,,,,,,,,,,,,,Yes,,,,,,,,,Yes
memberaudit.reports_access,,,,,,,,,,,,,,Yes,,,,,,,,,Yes
memberaudit.share_characters,,,,,,,,,,,,,,Yes,,,,,,,,,Yes
metenox.auditor,,,,,,,,,,,,,,,,,,,,,,,Yes
metenox.corporation_manager,,,,,,,,,,,,,,,,,,,,,,,Yes
moonmining.basic_access,,,,,,,,,,,,,,,,,,,,,,,Yes
moonmining.extractions_access,,,,,,,,,,,,,,,,,,,,,,,Yes
moonmining.reports_access,,,,,,,,,,,,,,,,,,,,,,,Yes
moonmining.upload_moon_scan,,,,,,,,,,,,,,,,,,,,,,,Yes
package_monitor.basic_access,,,,,,,,,,,,,,,,,,,,,,,Yes
securegroups.access_sec_group,,,,,,,,,,,,,,,,,,,,,,,Yes
securegroups.audit_sec_group,,,,,,,,,,,,,,,,,,,,,,,Yes
skillfarm.admin_access,,,,,,,,,,,,,,,,,,,,,,,Yes
skillfarm.basic_access,,,,,,,,,,,,,,,,,,,,,,,Yes
skillfarm.corp_access,,,,,,,,,,,,,,,,,,,,,,,Yes
sovtimer.basic_access,,,,,,,,,,,,,,,,,,,,,,,Yes
srppayouts.admin_access,,,,,,,,,,,,,,,,,,,,,,,Yes
srppayouts.basic_access,,,,,,,,,,,,,,,,,,,,,,,Yes
standing_fleet_tracker.basic_access,,,,,,,,,,,,,,,,,,,,,,Yes,Yes
standing_fleet_tracker.manage_standing_fleet,,,,,,,,,,,,,,,,,,,,,,Yes,Yes
structures.basic_access,,,,,,,,,,,,,,,,,,,,,,,Yes
structuretimers.basic_access,,,,,,,,,,,,,,,,,,,,,,,Yes
structuretimers.create_timer,,,,,,,,,,,,,,,,,,,,,,,Yes
structuretimers.manage_timer,,,,,,,,,,,,,,,,,,,,,,,Yes
structuretimers.opsec_access,,,,,,,,,,,,,,,,,,,,,,,Yes
taxsystem.basic_access,,,,,,,,,,,,,,,,,,,,,,,Yes
taxsystem.create_access,,,,,,,,,,,,,,,,,,,,,,,Yes
taxsystem.manage_alliances,,,,,,,,,,,,,,,,,,,,,,,Yes
taxsystem.manage_corps,,,,,,,,,,,,,,,,,,,,,,,Yes
taxsystem.manage_own_alliance,,,,,,,,,,,,,,,,,,,,,,,Yes
taxsystem.manage_own_corp,,,,,,,,,,,,,,,,,,,,,,,Yes
top.basic_access,,,,,,,,,,,,,,,,,,,,,,,Yes
wikijs.access_wikijs,,,,,,Yes,,,,,,,,Yes,,,,,,,,,Yes
